Subcat_ID,Stopword
1,abrasive polishing wheel abrasives shot
2,confectionery bakery products  candy cake chocolate jelly cream
3,additive food  flavor flavour food powder vinegar
5,snack papad foods namkeens fryums chips processed  namkeen papad roasted chips snack
7,gum husk shell coir powder
8,seafood fresh fish  fish fillet frozen crab tuna
10,dry nuts fruits and  nuts cashew dried raisins peanut
11,cooking oil  oil refined coconut sunflower seed
12,pickles sauces  pickle sauce jam chutney amla
13,feed food pet cake poultry
14,seeds  seeds seed sesame hybrid seedlings
15,whole spices cooking ground  powder masala spices cooking salt
16,coffee tea  tea coffee green black powder
18,bicycle chain bike wheel parts
19,aircraft aviation light warning led
20,connectors  connector connectors terminal cable jack
21,fish  aquarium fish used tanks fishes
23,card cards wedding greeting invitation
24,components engine  engine engines diesel valve parts
25,equipments handling material  handling pallet stacker equipment truck
26,spare parts wheeler two automotive  parts automotive spare auto bike
27,car wheel repair tools tyre
28,industrial springs  spring springs shock gas absorber
29,automotive car ignition auto parts
30,car seat cover motorcycle accessories
31,trophy medal award crystal plaque
32,medicine herbal  powder herbal ayurvedic capsules oil
33,baby diaper products care bottle
34,stickers tags  sticker stickers tags tag hang
35,accessories bathroom  towel bathroom dispenser soap holder
36,batteries  battery batteries charger lithium inverter
37,bearings  bearings bearing ball roller thrust
39,car automotive body chassis rear
40,books magazines book magazine chart
44,school book  books book children coloring english
46,books book engineering science technology
48,suspension leaf arm spring parts
49,brackets  bracket hardware fittings brackets handles
51,dustbin bin basket plastic bucket
52,carpets rugs  carpet rug carpets rugs cotton
53,cement mortar concrete plaster plant
54,mattress foam bed sheet air
55,cd usb case laptop keyboard
56,computer accessories hardware  computer monitor keyboard laptop mouse
57,computer computers systems portable  computer desktop laptops computers laptop
58,networking devices  cable router wireless network modem
59,industry vertical software communication  software management system antivirus data
60,gas gases refrigerant dioxide liquid
61,decorations hair  hair cream face body wash
62,ice milk cream products  milk dairy cream cheese products
63,accessories equipment dental  dental crown orthodontic implant cleaner
64,chemical chemicals compound laboratory  acid sodium powder chemicals potassium
65,pigments dyes industrial  dyes pigment dye pigments color
66,conditioner commercial air  air conditioner industrial chillers chiller
67,speakers  speaker headphone bluetooth headset speakers
68,capacitor resistor capacitors resistors choke
69,boiler  boiler boilers steam fired tube
70,wires cables electric  cable cables wire insulated harness
71,spare & parts consumables compressor air accessories  compressor air compressors oil refrigeration
72,heat exchangers  heat cooling exchanger tower exchangers
73,drilling machine drill boring rig
74,motors electric  motor motors ac electric geared
75,fittings furniture  furniture chair leg parts table
76,electronic boards amplifiers  electronic pcb rectifier module rectifiers
77,furniture metal  iron steel metal table stainless
